r 2826250834], length 256
19:12:23.680285 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2531984:2532240, ack 1, win 502, options [nop,nop,TS val 3494321799 ecr 2826250834], length 256
19:12:23.680325 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2532240:2532496, ack 1, win 502, options [nop,nop,TS val 3494321799 ecr 2826250834], length 256
19:12:23.680358 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2531728, win 248, options [nop,nop,TS val 2826250834 ecr 3494321799], length 0
19:12:23.680392 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2532496:2532912, ack 1, win 502, options [nop,nop,TS val 3494321799 ecr 2826250834], length 416
19:12:23.680440 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2532912:2533168, ack 1, win 502, options [nop,nop,TS val 3494321799 ecr 2826250834], length 256
19:12:23.680506 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2533168:2533424, ack 1, win 502, options [nop,nop,TS val 3494321799 ecr 2826250834], length 256
19:12:23.680558 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2533424:2533680, ack 1, win 502, options [nop,nop,TS val 3494321799 ecr 2826250834], length 256
19:12:23.680600 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2533680:2533936, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.680642 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2533936:2534192, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.680682 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2534192:2534448, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.680724 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2534448:2534704, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.680763 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2534704:2534960, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.680802 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2534960:2535216, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.680844 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2535216:2535472, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.680884 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2535472:2535728, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.680925 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2535728:2535984, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.680965 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2535984:2536240, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681003 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2536240:2536496, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681043 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2536496:2536752, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681083 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2536752:2537008, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681122 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2537008:2537264, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681162 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2537264:2537520, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681201 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2537520:2537776, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681244 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2537776:2538032, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681282 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2538032:2538288, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681321 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2538288:2538544, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681362 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2538544:2538800, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681401 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2538800:2539056, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681440 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2539056:2539312, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681479 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2539312:2539568, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
19:12:23.681519 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2539568:2539824, ack 1, win 502, options [nop,nop,TS val 3494321800 ecr 2826250834], length 256
